Coal: Production*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
Russian Federation,n/a,n/a,n/a,n/a,7.78,8.05,8.11,8.37,8.05,7.77,7.14,6.85,6.18,5.50,5.22,5.06,4.86,4.56,4.93,5.09,5.38,5.13,5.55,5.74,5.68,5.90,6.01,6.24,5.93,6.32,6.60,7.05,7.25,7.39,7.80,8.12,8.62,9.23,9.20,-0.3%,4.0%,5.5%,,
USSR,14.50,14.62,14.61,14.45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Uzbekistan,n/a,n/a,n/a,n/a,0.06,0.07,0.06,0.06,0.07,0.08,0.07,0.06,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-2.9%,1.5%,?,,
Other CIS,n/a,n/a,n/a,n/a,0.12,0.12,0.11,0.12,0.12,0.10,0.10,0.08,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.10,0.10,4.7%,10.7%,0.1%,,
Total CIS,14.50,14.62,14.61,14.45,10.36,10.76,10.89,11.17,10.76,10.34,9.68,9.28,8.31,7.48,6.80,6.51,6.24,5.89,6.06,6.50,6.87,6.53,7.13,7.37,7.30,7.70,7.85,8.32,7.83,8.39,8.77,9.31,9.51,9.55,9.84,10.09,10.77,11.51,11.43,-0.6%,3.3%,6.8%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Middle East,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,?,-3.4%,?,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,3.13,3.47,3.50,3.92,4.18,4.26,4.25,4.36,4.23,4.19,4.28,4.38,4.48,4.65,4.90,4.90,5.22,5.28,5.29,5.30,5.29,5.21,5.64,5.74,5.79,5.79,5.79,5.90,5.85,6.03,6.00,6.14,6.08,6.20,5.96,6.01,5.97,5.99,6.02,0.4%,0.2%,3.6%,,
Zimbabwe,0.08,0.07,0.09,0.08,0.08,0.11,0.13,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.08,0.10,0.09,0.06,0.06,0.04,0.05,0.07,0.07,0.04,0.08,0.16,0.12,0.07,0.08,0.10,0.06,-35.0%,9.0%,?,,
