Coal: Consumption*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,6.73,6.28,6.05,6.14,6.32,6.24,5.97,5.83,5.85,5.88,5.32,5.62,5.40,5.47,5.78,5.92,6.02,5.87,6.09,6.28,6.25,5.91,5.88,5.81,5.90,5.51,4.84,4.37,4.12,4.00,3.79,3.78,3.66,3.57,3.44,3.57,3.58,3.59,3.65,3.56,3.40,3.54,3.63,3.35,3.00,3.23,3.28,3.37,3.47,3.33,3.29,3.20,3.01,2.90,2.30,-20.7%,-1.4%,1.5%,,
Greece,0.09,0.09,0.08,0.10,0.09,0.11,0.16,0.17,0.20,0.21,0.27,0.32,0.34,0.30,0.17,0.17,0.16,0.17,0.20,0.22,0.25,0.24,0.28,0.31,0.33,0.34,0.32,0.34,0.34,0.34,0.34,0.33,0.35,0.37,0.36,0.38,0.39,0.38,0.38,0.39,0.38,0.35,0.37,0.35,0.35,0.33,0.33,0.34,0.29,0.28,0.24,0.18,0.20,0.19,0.14,-27.6%,-5.8%,0.1%,,
Hungary,0.46,0.44,0.38,0.38,0.38,0.39,0.37,0.36,0.37,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.32,0.32,0.31,0.31,0.30,0.27,0.26,0.24,0.22,0.20,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.11,0.10,0.09,0.10,0.09,0.09,0.09,0.08,-11.3%,-3.5%,?,,
Iceland,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,?,1.8%,?,,
Ireland,0.13,0.15,0.16,0.19,0.18,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.11,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.10,0.11,0.11,0.11,0.11,0.10,0.11,0.10,0.10,0.10,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.06,0.04,-32.0%,-4.7%,?,,
Italy,0.36,0.38,0.41,0.40,0.41,0.41,0.40,0.37,0.38,0.41,0.41,0.41,0.40,0.41,0.45,0.53,0.54,0.60,0.56,0.64,0.63,0.62,0.62,0.58,0.60,0.61,0.58,0.51,0.45,0.47,0.51,0.47,0.47,0.49,0.49,0.52,0.56,0.57,0.62,0.69,0.69,0.70,0.68,0.66,0.52,0.57,0.64,0.66,0.57,0.55,0.52,0.46,0.40,0.37,0.30,-19.3%,-5.7%,0.2%,,
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,52.1%,-7.6%,?,,
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.6%,?,?,,
Luxembourg,0.11,0.10,0.10,0.10,0.11,0.11,0.10,0.10,0.10,0.11,0.08,0.08,0.07,0.07,0.08,0.08,0.06,0.06,0.05,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.02,0.02,0.01,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,32.6%,-5.6%,?,,
Netherlands,0.37,0.34,0.33,0.31,0.26,0.19,0.15,0.12,0.13,0.12,0.10,0.13,0.13,0.15,0.14,0.17,0.19,0.21,0.22,0.27,0.27,0.27,0.29,0.35,0.34,0.37,0.34,0.34,0.34,0.36,0.37,0.36,0.35,0.36,0.31,0.33,0.35,0.35,0.36,0.36,0.34,0.32,0.35,0.33,0.31,0.32,0.31,0.34,0.34,0.38,0.46,0.43,0.38,0.34,0.27,-22.5%,0.3%,0.2%,,
